Time,Values
2022-07-29 14:00:00,105.8
2022-07-29 14:30:00,103.0
2022-07-29 15:00:00,102.4
2022-07-29 15:30:00,93.8
2022-07-29 16:00:00,91.2
2022-07-29 16:30:00,84.0
2022-07-29 17:00:00,84.0
2022-07-29 17:30:00,94.0
2022-07-29 18:00:00,92.6
2022-07-29 18:30:00,90.8
2022-07-29 19:00:00,90.6
2022-07-29 19:30:00,104.2
2022-07-29 20:00:00,96.6
2022-07-29 20:30:00,95.2
2022-07-29 21:00:00,100.4
2022-07-29 21:30:00,89.0
2022-07-29 22:00:00,89.8
2022-07-29 22:30:00,88.8
2022-07-29 23:00:00,88.6
2022-07-29 23:30:00,79.8
2022-07-30 00:00:00,75.4
2022-07-30 00:30:00,56.6
2022-07-30 01:00:00,46.4
2022-07-30 01:30:00,39.2
2022-07-30 02:00:00,35.2
2022-07-30 02:30:00,31.8
2022-07-30 03:00:00,27.4
2022-07-30 03:30:00,26.6
2022-07-30 04:00:00,27.2
2022-07-30 04:30:00,26.8
2022-07-30 05:00:00,26.2
2022-07-30 05:30:00,35.8
2022-07-30 06:00:00,36.4
2022-07-30 06:30:00,38.8
2022-07-30 07:00:00,55.6
2022-07-30 07:30:00,57.0
2022-07-30 08:00:00,72.2
2022-07-30 08:30:00,86.4
2022-07-30 09:00:00,96.4
2022-07-30 09:30:00,108.8
2022-07-30 10:00:00,107.2
2022-07-30 10:30:00,111.2
2022-07-30 11:00:00,107.2
2022-07-30 11:30:00,107.8
2022-07-30 12:00:00,102.2
2022-07-30 12:30:00,104.4
2022-07-30 13:00:00,103.4
2022-07-30 13:30:00,100.8
2022-07-30 14:00:00,98.4
2022-07-30 14:30:00,96.4
2022-07-30 15:00:00,90.6
2022-07-30 15:30:00,85.2
2022-07-30 16:00:00,80.8
2022-07-30 16:30:00,82.4
2022-07-30 17:00:00,84.6
2022-07-30 17:30:00,88.4
2022-07-30 18:00:00,92.0
2022-07-30 18:30:00,87.2
2022-07-30 19:00:00,97.0
2022-07-30 19:30:00,99.2
2022-07-30 20:00:00,99.6
2022-07-30 20:30:00,93.6
2022-07-30 21:00:00,93.6
2022-07-30 21:30:00,90.8
2022-07-30 22:00:00,84.8
2022-07-30 22:30:00,84.6
2022-07-30 23:00:00,87.6
2022-07-30 23:30:00,83.4
2022-07-31 00:00:00,67.2
2022-07-31 00:30:00,62.8
2022-07-31 01:00:00,47.8
2022-07-31 01:30:00,42.6
2022-07-31 02:00:00,37.8
2022-07-31 02:30:00,32.6
2022-07-31 03:00:00,30.2
2022-07-31 03:30:00,29.2
2022-07-31 04:00:00,24.8
2022-07-31 04:30:00,27.6
2022-07-31 05:00:00,25.4
2022-07-31 05:30:00,23.4
2022-07-31 06:00:00,27.2
2022-07-31 06:30:00,33.4
2022-07-31 07:00:00,36.0
2022-07-31 07:30:00,45.0
2022-07-31 08:00:00,57.8
2022-07-31 08:30:00,71.0
2022-07-31 09:00:00,79.0
2022-07-31 09:30:00,93.2
2022-07-31 10:00:00,100.6
2022-07-31 10:30:00,102.6
2022-07-31 11:00:00,99.8
2022-07-31 11:30:00,92.6
2022-07-31 12:00:00,90.0
2022-07-31 12:30:00,89.2
2022-07-31 13:00:00,87.6
2022-07-31 13:30:00,82.8
2022-07-31 14:00:00,83.8
2022-07-31 14:30:00,85.2
2022-07-31 15:00:00,81.2
2022-07-31 15:30:00,78.6
2022-07-31 16:00:00,72.8
2022-07-31 16:30:00,68.6
2022-07-31 17:00:00,67.4
2022-07-31 17:30:00,70.6
2022-07-31 18:00:00,77.8
2022-07-31 18:30:00,77.2
2022-07-31 19:00:00,83.4
2022-07-31 19:30:00,80.4
2022-07-31 20:00:00,79.4
2022-07-31 20:30:00,85.4
2022-07-31 21:00:00,88.6
2022-07-31 21:30:00,88.4
2022-07-31 22:00:00,78.4
2022-07-31 22:30:00,76.4
2022-07-31 23:00:00,73.6
2022-07-31 23:30:00,64.8
2022-08-01 00:00:00,51.4
2022-08-01 00:30:00,42.8
2022-08-01 01:00:00,33.2
2022-08-01 01:30:00,32.2
2022-08-01 02:00:00,28.4
2022-08-01 02:30:00,27.4
2022-08-01 03:00:00,28.4
2022-08-01 03:30:00,27.0
2022-08-01 04:00:00,21.2
2022-08-01 04:30:00,27.4
2022-08-01 05:00:00,26.8
2022-08-01 05:30:00,29.4
2022-08-01 06:00:00,32.0
2022-08-01 06:30:00,47.0
2022-08-01 07:00:00,60.0
2022-08-01 07:30:00,77.4
2022-08-01 08:00:00,92.0
2022-08-01 08:30:00,99.6
2022-08-01 09:00:00,106.8
2022-08-01 09:30:00,105.6
2022-08-01 10:00:00,109.6
2022-08-01 10:30:00,117.0
2022-08-01 11:00:00,112.2
2022-08-01 11:30:00,105.6
2022-08-01 12:00:00,100.0
2022-08-01 12:30:00,98.0
2022-08-01 13:00:00,96.6
2022-08-01 13:30:00,99.6
2022-08-01 14:00:00,96.0
2022-08-01 14:30:00,92.0
2022-08-01 15:00:00,93.4
2022-08-01 15:30:00,86.4
2022-08-01 16:00:00,83.8
2022-08-01 16:30:00,84.2
2022-08-01 17:00:00,74.6
2022-08-01 17:30:00,84.4
2022-08-01 18:00:00,83.4
2022-08-01 18:30:00,84.4
2022-08-01 19:00:00,78.0
2022-08-01 19:30:00,90.6
2022-08-01 20:00:00,90.4
2022-08-01 20:30:00,102.0
2022-08-01 21:00:00,99.0
2022-08-01 21:30:00,88.8
2022-08-01 22:00:00,80.0
2022-08-01 22:30:00,76.8
2022-08-01 23:00:00,73.2
2022-08-01 23:30:00,59.0
2022-08-02 00:00:00,50.0
2022-08-02 00:30:00,43.6
2022-08-02 01:00:00,31.8
2022-08-02 01:30:00,26.2
2022-08-02 02:00:00,24.6
2022-08-02 02:30:00,24.4
2022-08-02 03:00:00,20.2
2022-08-02 03:30:00,21.4
2022-08-02 04:00:00,20.6
2022-08-02 04:30:00,26.6
2022-08-02 05:00:00,24.2
2022-08-02 05:30:00,27.2
2022-08-02 06:00:00,31.2
2022-08-02 06:30:00,39.2
2022-08-02 07:00:00,58.2
2022-08-02 07:30:00,70.0
2022-08-02 08:00:00,91.6
2022-08-02 08:30:00,101.2
2022-08-02 09:00:00,102.6
2022-08-02 09:30:00,110.4
2022-08-02 10:00:00,111.2
2022-08-02 10:30:00,109.8
2022-08-02 11:00:00,117.8
2022-08-02 11:30:00,109.6
2022-08-02 12:00:00,101.6
2022-08-02 12:30:00,106.8
2022-08-02 13:00:00,104.4
2022-08-02 13:30:00,104.2
2022-08-02 14:00:00,100.0
2022-08-02 14:30:00,96.4
2022-08-02 15:00:00,94.6
2022-08-02 15:30:00,94.6
2022-08-02 16:00:00,90.0
2022-08-02 16:30:00,88.6
2022-08-02 17:00:00,85.4
2022-08-02 17:30:00,89.6
2022-08-02 18:00:00,86.8
2022-08-02 18:30:00,92.0
2022-08-02 19:00:00,94.0
2022-08-02 19:30:00,99.2
2022-08-02 20:00:00,101.4
2022-08-02 20:30:00,109.8
2022-08-02 21:00:00,114.8
2022-08-02 21:30:00,102.0
2022-08-02 22:00:00,100.8
2022-08-02 22:30:00,85.4
2022-08-02 23:00:00,81.8
2022-08-02 23:30:00,72.8
2022-08-03 00:00:00,57.6
2022-08-03 00:30:00,51.6
2022-08-03 01:00:00,41.0
2022-08-03 01:30:00,34.4
2022-08-03 02:00:00,30.4
2022-08-03 02:30:00,29.8
2022-08-03 03:00:00,25.4
2022-08-03 03:30:00,27.6
2022-08-03 04:00:00,27.0
2022-08-03 04:30:00,30.0
2022-08-03 05:00:00,29.2
2022-08-03 05:30:00,30.0
2022-08-03 06:00:00,35.2
2022-08-03 06:30:00,44.0
2022-08-03 07:00:00,56.4
2022-08-03 07:30:00,74.6
2022-08-03 08:00:00,92.8
2022-08-03 08:30:00,101.4
2022-08-03 09:00:00,99.6
2022-08-03 09:30:00,105.2
2022-08-03 10:00:00,110.4
2022-08-03 10:30:00,109.6
2022-08-03 11:00:00,109.8
2022-08-03 11:30:00,103.6
2022-08-03 12:00:00,103.6
2022-08-03 12:30:00,106.2
2022-08-03 13:00:00,105.8
2022-08-03 13:30:00,104.2
